,frequency,index,word
0,-13.418934326476894,0,<start>
1,0.0,1,a
2,-0.40459723696821315,2,.
3,-1.5155017349648963,3,on
4,-1.573035596295479,4,of
5,-1.6120266765064037,5,the
6,-1.6750003204693182,6,in
7,-1.8624609855791794,7,with
8,-1.9634473145539324,8,and
9,-2.300845650825649,9,is
10,-2.587464653477026,10,man
11,-2.669149413887145,11,to
12,-2.9187829611010425,12,sitting
13,-2.977404895381534,13,an
14,-3.002144220299882,14,two
15,-3.123235781511016,15,standing
16,-3.1343768226673223,16,at
17,-3.1363598648926665,17,people
18,-3.1661288264556013,18,are
19,-3.204365608060752,19,","
20,-3.2743061459249008,20,next
21,-3.300496697655083,21,white
22,-3.343301823598371,22,woman
23,-3.4726267767578367,23,street
24,-3.477380573134308,24,table
25,-3.5612813102845644,25,that
26,-3.5665295641700814,26,holding
27,-3.625261639947971,27,it
28,-3.6685396800745895,28,person
29,-3.681737513662192,29,large
30,-3.6820918513497123,30,some
31,-3.7226554622426686,31,down
32,-3.790607565838874,32,top
33,-3.7955575808962276,33,group
34,-3.8337942607034305,34,field
35,-3.8536505087401256,35,up
36,-3.8814508131680157,36,small
37,-3.908341224875077,37,near
38,-3.909082130295352,38,tennis
39,-3.9351375893129115,39,his
40,-3.9400182517886657,40,black
41,-3.947692297583898,41,front
42,-3.969340861453432,42,plate
43,-3.9717053013948282,43,train
44,-3.9743126587760447,44,room
45,-3.9778791376901825,45,riding
46,-3.9884950333727254,46,dog
47,-4.044945662972377,47,young
48,-4.046390074625856,48,red
49,-4.052188675336574,49,by
50,-4.061467889610416,50,cat
51,-4.083460223743945,51,water
52,-4.093302910165976,52,baseball
53,-4.187615548115518,53,walking
54,-4.188203264852976,54,playing
55,-4.200229038169082,55,has
56,-4.20729479876909,56,bathroom
57,-4.211999747635543,57,while
58,-4.261256607084016,58,sign
59,-4.27966040293457,59,blue
60,-4.286988021928722,60,food
61,-4.288503337729012,61,kitchen
62,-4.309188069736413,62,grass
63,-4.3246784335215125,63,bus
64,-4.336540968831332,64,there
65,-4.348891040039433,65,pizza
66,-4.350849002081581,66,parked
67,-4.367238047940308,67,green
68,-4.403757619307963,68,building
69,-4.4080209791976035,69,snow
70,-4.408753669424544,70,side
71,-4.415003306823754,71,looking
72,-4.415987195723688,72,bed
73,-4.422158531034596,73,other
74,-4.4482480579419095,74,beach
75,-4.451685143624616,75,ball
76,-4.456670772360131,76,couple
77,-4.4788291133487705,77,three
78,-4.48119038953445,78,boy
79,-4.490559066623262,79,men
80,-4.4956095824093305,80,for
81,-4.530453478754078,81,flying
82,-4.539183527963767,82,toilet
83,-4.548130882494768,83,city
84,-4.568273407459741,84,road
85,-4.5740213755773445,85,skateboard
86,-4.591172958822174,86,clock
87,-4.59205298234626,87,player
88,-4.598825681968285,88,out
89,-4.601932882811034,89,game
90,-4.606686308279461,90,wearing
91,-4.614609213914356,91,her
92,-4.634772104206416,92,laying
93,-4.635384849323627,93,over
94,-4.641841443621327,94,several
95,-4.643848391419627,95,girl
96,-4.671423379998445,96,from
97,-4.681321289668042,97,sits
98,-4.684213322532082,98,wooden
99,-4.70453096577295,99,bear
100,-4.712609486338152,100,through
101,-4.716257914929122,101,picture
102,-4.71908630047658,102,their
103,-4.720753801279837,103,around
104,-4.721588595551541,104,bench
105,-4.73064906021825,105,eating
106,-4.734194863848855,106,laptop
107,-4.748676759333819,107,cake
108,-4.752459432344901,108,area
109,-4.759720875040227,109,horse
110,-4.765987214083036,110,brown
111,-4.77440388659946,111,yellow
112,-4.790736577017745,112,giraffe
113,-4.790736577017745,113,board
114,-4.794143124462638,114,sink
115,-4.798643177057088,115,one
116,-4.80370739478929,116,computer
117,-4.80407010788721,117,phone
118,-4.805885649417134,118,frisbee
119,-4.832588276372339,119,outside
120,-4.835391754519121,120,living
121,-4.844227228860048,121,air
122,-4.851999043165842,122,truck
123,-4.894566931312655,123,window
124,-4.899743132397982,124,desk
125,-4.90977330675792,125,as
126,-4.9199051056883265,126,'s
127,-4.924191263898248,127,motorcycle
128,-4.925214491246297,128,umbrella
129,-4.92664877076684,129,car
130,-4.928290470294192,130,trees
131,-4.934677635306921,131,tree
132,-4.940897850261849,132,each
133,-4.9415220050725,133,covered
134,-4.949461871272067,134,many
135,-4.951561830044612,135,elephant
136,-4.95177206866622,136,park
137,-4.952192678556754,137,open
138,-4.9532449779277705,138,close
139,-4.975172413146539,139,very
140,-4.976249187235717,140,wall
141,-4.984036377787485,141,this
142,-4.985775130670665,142,old
143,-5.0160302814627835,143,little
144,-5.01737647865958,144,filled
145,-5.027531141118955,145,fire
146,-5.027531141118955,146,under
147,-5.029347259665801,147,behind
148,-5.036187231613578,148,stop
149,-5.051866593638294,149,sky
150,-5.056058495445012,150,court
151,-5.057927218249985,151,together
152,-5.06261436064874,152,child
153,-5.06355443122326,153,into
154,-5.091691719019101,154,kite
155,-5.120145932027691,155,its
156,-5.132412952795657,156,bat
157,-5.132412952795657,157,surfboard
158,-5.135187579370762,158,skis
159,-5.139744549281889,159,inside
160,-5.14687470426648,160,sheep
161,-5.156891482509952,161,bowl
162,-5.157407878080425,162,photo
163,-5.158700034869596,163,airplane
164,-5.165967131476095,164,boat
165,-5.171714273731663,165,big
166,-5.178549210960558,166,background
167,-5.191826092128746,167,back
168,-5.193966847562309,168,bunch
169,-5.196649252604176,169,ocean
170,-5.201495788746706,170,couch
171,-5.205823628880217,171,stands
172,-5.211805158405567,172,chair
173,-5.222221919263823,173,bird
174,-5.225810604964826,174,zebra
175,-5.2260871918840275,175,light
